Gene	WT	hoD	sir1D	sir2	sir3	sir4DK
STE20	19.1616	19.8735	19.5894	15.3116	17.9636	15.2041
STE23	35.2413	28.5543	28.4369	26.452	29.8336	28.733
STE24	127.277	114.221	112.67	90.8466	129.087	118.394
STE3	2.3966	2.86721	11.8236	4.41665	4.44011	4.41299
STE4	75.8476	65.8566	65.613	7.96838	7.28232	5.84989
STE5	15.0892	14.2847	14.5521	1.65927	2.74943	2.2949
STE50	27.9494	28.3563	33.9115	27.0437	25.966	29.3615
STE6	25.9031	22.8039	32.4193	2.9244	4.05291	3.63278
STE7	8.27871	9.21032	11.313	8.90191	9.14929	8.21542
STF1	46.8015	61.2139	75.569	66.1561	101.738	137.274
STF2	447.854	589.038	735.816	479.021	725.853	1072.02
STH1	16.456	15.2211	14.6296	12.8507	12.9315	12.5917
STI1	106.62	136.31	154.091	55.9152	156.145	144.875
STL1	4.30489	4.80674	4.96477	3.49066	5.27952	4.58655
STM1	1508.01	1444.24	1300.4	1403.5	1184.25	1580.27
STN1	6.78837	9.15673	8.63433	8.2738	6.27116	7.11896
STO1	37.6563	34.9135	32.3281	36.1682	29.8056	24.7475
STP1	14.8044	18.3541	19.6957	13.8297	16.3249	16.7273
STP2	27.5036	29.5702	30.9954	21.4562	20.5638	23.4304
STP22	28.3948	23.4412	24.0553	25.9235	29.2057	31.5041
STP3	213.829	167.213	173.57	188.285	184.691	229.196
STP4	447.152	355.78	371.108	258.15	455.351	397.249
STR2	18.2828	24.3178	30.6085	16.8938	21.4597	22.6339
STR3	11.7334	14.9694	24.7201	4.62908	31.7839	31.012
STS1	58.4092	58.36	62.8189	65.4838	52.5059	63.221
STT3	135.426	104.808	98.5722	100.569	104.636	98.973
STT4	21.0637	14.3157	13.7424	16.2051	16.7638	14.2759
STU1	3.80323	3.77362	4.00726	4.08913	4.07275	2.72529
STU2	9.44565	9.58628	9.3901	8.31708	8.98657	8.3897
STV1	48.0035	35.4804	37.5412	30.9839	39.5104	37.851
SUA5	30.2178	25.1768	22.9072	44.3793	27.0992	22.0955
SUA7	62.1846	63.9956	66.5846	62.1612	54.0567	59.7872
SUB1	62.2169	71.3774	84.879	63.7711	55.1777	75.9528
SUB2	289.714	269.994	256.262	299.862	250.492	280.157
SUC2	87.9511	61.36	66.735	46.8392	80.724	61.4596
SUE1	1.29112	2.33154	3.07026	4.69268	9.28007	3.99864
SUI1	1374.26	1169.83	1108.35	1445.07	1044.48	1317.39
SUI2	178.124	148.05	135.028	227.094	142.152	180.492
SUI3	376.624	342.232	314.302	464.172	302.351	370.6
SUL1	10.2938	8.26009	8.54567	7.42363	8.85647	8.6602
SUL2	7.89007	6.86712	11.2449	6.76698	20.9505	11.4871
SUM1	17.2501	16.7313	17.658	11.5131	14.6532	13.1103
SUN4	311.398	212.675	194.936	125.192	122.116	136.136
SUP35	100.664	101.959	101.726	95.8119	83.6846	78.1389
SUP45	322.847	283.598	256.063	331.622	240.666	264.18
SUR1	183.287	143.886	139.501	156.483	200.606	187.855
SUR2	359.271	277.536	264.991	223.241	262.059	354.639
SUR4	686.39	456.166	438.784	483.067	448.66	430.417
SUR7	218.373	144.929	151.497	149.456	155.377	128.793
SUS1	52.2373	76.0696	89.1133	66.1611	64.2958	71.5776
SUT1	9.32455	10.5943	11.0836	10.5874	8.14894	9.0488
SUT2	39.1851	40.0244	41.9451	27.4961	27.6394	31.6577
SUV3	8.6085	8.7595	7.31953	9.23584	6.9041	6.73359
SVF1	131.432	117.288	114.215	114.594	97.1248	98.4688
SVL3	61.3271	43.7198	44.3436	31.2803	43.9848	34.9701
SVP26	124.113	88.8123	80.8748	106.791	100.2	109.582
SVS1	179.392	126.33	127.301	153.96	129.068	136.039
SWA2	12.9294	12.5536	12.8768	12.8269	12.025	13.033
SWC3	6.27413	6.24779	6.71156	7.65709	5.68289	6.83863
SWC4	17.269	19.9772	21.0827	16.7275	16.085	15.5306
SWC5	8.60346	8.43444	11.7456	9.40677	6.54234	9.03241
SWC7	2.50454	1.64115	1.67131	0.436381	2.06501	0.729875
SWD1	32.62	25.2418	23.5869	20.8266	26.0975	23.5745
SWD2	34.9992	25.7932	27.1828	40.0436	33.5594	32.7949
SWD3	31.9822	27.0176	26.7817	32.5951	30.8679	29.4006
SWE1	14.504	12.3893	12.1745	10.2329	12.3579	9.09904
SWF1	20.6519	17.6429	19.5026	21.6312	20.8655	22.5587
SWH1	13.5109	12.8556	13.1151	10.2885	12.5967	12.1809
SWI1	6.4887	5.92453	5.65611	5.2096	5.41051	4.28191
SWI3	14.2002	11.4153	11.7669	10.7377	11.4497	11.3501
SWI4	5.36477	5.38732	5.32362	4.11616	5.75907	4.70635
